gvkey,conm,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
004494,EXPEDITORS INTL WASH INC,P,01,LU,87717,7232,19840926,E
004495,EXPERTELLIGENCE INC,C,01,LC,59943,6841,19840207,19860226
004495,EXPERTELLIGENCE INC,C,01,LC,59943,6841,20000629,20020110
004496,TXCO RESOURCES INC,C,01,LC,33815,4609,19851218,20090527
004496,TXCO RESOURCES INC,C,01,LC,33815,4609,19791129,19840111
004497,DMC GLOBAL INC,C,02,LU,33823,9028,19790629,E
004498,INSTEEL INDUSTRIES,P,01,LU,87725,7518,19850425,E
004501,EXTRACORPOREAL MEDICAL SPEC,P,01,LU,33858,1613,19721214,19780531
004502,EXTRACTIVE FUELS INC,C,01,LU,33866,1866,19791108,19840926
004503,EXXON MOBIL CORP,P,01,LC,11850,20678,19620131,E
004503,EXXON MOBIL CORP,C,00X,LC,11850,20678,19500101,19620130
004506,RIO HOTEL & CASINO INC,C,02,LU,12395,7069,19840604,19990129
004507,FAFCO INC,C,01,LU,33911,1623,19810623,19870817
004508,FDS HOLDING CO,P,01,LU,80411,1680,19721214,19790228
004509,FGI INVESTORS INC,C,01,LU,52353,25244,19730131,19831230
004510,FMC CORP,C,00X,LU,19166,20681,19500101,19620130
004510,FMC CORP,P,01,LU,19166,20681,19620131,E
004512,FMI FINANCIAL CORP,C,01,LC,50403,1777,19760729,19860829
004512,FMI FINANCIAL CORP,C,01,LC,50403,1777,19700406,19750409
004514,FNI INC,C,01,LC,33962,1803,19840829,19850228
004514,FNI INC,C,01,LC,33962,1803,19791213,19800810
004515,ORLEANS HOMEBUILDERS INC,P,01,LC,54439,20683,19720329,20100301
004516,FP INDUSTRIES INC-OLD,C,01,LC,87760,7384,19850603,19860826
004517,NEXTERA ENERGY INC,P,01,LC,24205,20684,19620131,E
004517,NEXTERA ENERGY INC,C,00X,LC,24205,20684,19510101,19620130
004518,FSC CORP,P,01,LU,33989,1844,19760130,19821029
004518,FSC CORP,C,00X,LU,33989,1844,19740101,19760129
004520,FAB INDUSTRIES INC,C,01,LU,48143,20685,19690409,20050527
004521,FABERGE INC,P,01,LU,31763,23805,19620702,19840823
004522,FABIEN CORP,C,01,LU,46332,24874,19680611,19780828
004523,JO-ANN STORES INC,P,01,LC,89896,20686,20031105,20110331
004523,JO-ANN STORES INC,J,02,LU,53196,20686,20031101,20031128
004523,JO-ANN STORES INC,P,02,LU,53196,20686,19710913,20031031
004523,JO-ANN STORES INC,J,03,LU,81916,20686,19950817,20031128
004524,FABRI-TEK INC,P,01,LU,33997,1634,19721214,19820226
004526,FABRICLAND INC,P,01,LU,34017,1651,19780131,19910731
004526,FABRICLAND INC,C,00X,LU,34017,1651,19740101,19780130
004529,FCS LABS INC,C,01,LU,34033,6952,19840327,19901001
004530,FDP CORP,P,01,LU,34041,6284,19830812,19990430
004531,FCP INC,P,01,LU,37701,1670,19810227,19860630
004534,FABULOUS INNS OF AMERICA,P,01,LU,34068,6335,19830829,19880808
004535,FACET ENTERPRISES,P,01,LU,58851,25616,19760402,19880531
004536,FACTOR (MAX) CO-CL A,P,01,LU,27852,23503,19620131,19730228
004537,FAIR GROUNDS CORP,C,01,LU,76550,27850,19901116,19940228
004538,FAIR LANES,P,01,LU,34076,1624,19721214,19870331
004539,FAIR-TEX MILLS,P,01,LU,53540,5139,19711110,19831214
004540,FAIRCHILD CAMERA &INSTRUMENT,P,01,LU,28169,23523,19620131,19790629
004545,FAIRCHILD INDUSTRIES INC,P,01,LU,24897,23300,19660131,19890818
004545,FAIRCHILD INDUSTRIES INC,C,00X,LU,24897,23300,19600101,19660130
004546,FAIRFIELD COMMUNITIES INC,C,01,LC,62586,1664,19740627,19741119
004546,FAIRFIELD COMMUNITIES INC,C,01,LC,79823,1664,19931104,20010402
004546,FAIRFIELD COMMUNITIES INC,C,01,LC,62586,1664,19760726,19920701
004546,FAIRFIELD COMMUNITIES INC,C,01,LC,62586,1664,19730131,19731011
004547,FAIRFIELD-NOBLE CORP,P,01,LU,42876,1631,19660106,19900228
004549,FAIRMONT FINANCIAL INC,P,01,LU,67897,6178,19830831,19870529
004550,FAIRMONT FOODS CO,P,01,LU,26526,23413,19620131,19800731
004551,FAIRMOUNT CHEMICAL CO INC,C,01,LU,31798,8501,19641130,19910703
004552,FALCON OIL & GAS INC,C,01,LU,34113,1761,19840315,19950208
004553,FALCON PRODUCTS INC,P,01,LC,34121,1756,19740131,20041018
004554,FALCON SEABOARD INC,P,01,LU,31800,23807,19660131,19790228
004555,FALCONBRIDGE LTD -OLD,C,01,LC,78283,26245,19821101,19890919
004556,FALL RIVER GAS CO,P,01,LU,85723,26502,19971031,20000929
004558,FALSTAFF BREWING CORP,C,01,LU,23683,1625,19730131,19890531
004558,FALSTAFF BREWING CORP,C,00X,LC,23683,1625,19730101,19730130
004559,FAMILIAN CORP,P,01,LU,34172,1628,19780131,19841231
004559,FAMILIAN CORP,C,00X,LU,34172,1628,19730701,19780130
004560,FAMILY DOLLAR STORES,P,01,LC,53866,20690,19720104,20150706
004561,FAMILY ENTERTAINMENT CNTRS,P,01,LU,34199,5619,19820901,19841031
004562,FAMILY HEALTH SYSTEMS INC,C,01,LU,34201,6336,19830829,19880201
004563,FAMILY SHOWTIME THEATRES INC,P,01,LU,34236,5834,19830307,19850531
004564,FAMOUS RESTAURANTS INC,C,01,LU,38173,5120,19811019,19910711
004566,FANNY FARMER CANDY SHOPS INC,P,01,LU,31819,23808,19620702,19800131
004567,FANON COURIER USA INC,P,01,LU,34244,6923,19840314,19851031
004568,FANSTEEL INC/DE,C,01,LU,24918,6194,19740131,20011119
004568,FANSTEEL INC/DE,C,00X,LC,24918,6194,19740101,19740130
004569,WESTMINSTER CAPITAL INC,C,01,LC,86951,29685,19990615,20030829
004570,FARADAY LABORATORIES INC,P,01,LU,34279,1677,19730131,19870630
004572,COVISTA COMMUNICATIONS INC,P,01,LU,34287,6099,19810130,20050630
004572,COVISTA COMMUNICATIONS INC,C,00X,LU,34287,6099,19730201,19810129
004573,FARAH INC,P,01,LU,44708,20692,19670717,19980630
004574,FARED SYSTEM INC,C,01,LU,34295,5622,19820903,19880504
004575,FARINON CORP,P,01,LU,34308,1633,19721214,19800229
004577,FARM FRESH INC,C,00X,LU,34332,5886,19830329,19830330
004577,FARM FRESH INC,C,01,LU,34332,5886,19830331,19880927
004578,FARM HOUSE FOODS,P,01,LU,34359,1713,19760331,19890908
004579,FARMER BROS CO,P,01,LU,34367,1632,19721214,E
004581,FARMERS GROUP INC,P,01,LU,34383,1710,19721214,19881230
004582,FARMERS NEW WORLD LIFE INS,C,01,LU,34391,24001,19721214,19771230
004585,FARR CO,P,01,LU,34404,1630,19721214,20000531
004587,FASHION FABRICS,P,01,LU,53700,1622,19711213,19780929
004588,FASHION TWO TWENTY INC,P,01,LU,34439,1864,19721214,19820708
004589,FAST FOOD OPERATORS INC,C,01,LU,34447,3632,19810409,19911206
004592,FAYS INC,P,01,LU,58405,1637,19721214,19961031
004594,FED-MART CORP,P,01,LU,47749,24961,19690219,19810430
004595,FEDDERS CORP,J,03,LU,80783,20693,19940912,20020328
004595,FEDDERS CORP,C,00X,LC,23552,20693,19490901,19620130
004595,FEDDERS CORP,P,01,LC,23552,20693,19620131,20061107
004596,HOLLY FARMS CORP,P,01,LC,50729,25141,19700612,19890717
004598,FEDEX CORP,P,01,LU,60628,1685,19780412,E
004599,RUSSEL METALS INC,C,01,LC,80295,28143,19951229,20000929
004600,FEDERAL-MOGUL HOLDINGS CORP,P,02,LC,92640,20694,20080423,20170131
004600,FEDERAL-MOGUL HOLDINGS CORP,C,00X,LC,21338,20694,19500101,19620130
004600,FEDERAL-MOGUL HOLDINGS CORP,P,01,LC,21338,20694,19620131,20020425
004601,FANNIE MAE,P,01,LC,51043,20695,19700831,20100707
004602,FEDERAL PACIFIC ELEC CO,P,01,LU,25347,23328,19620131,19710903
004603,FEDERAL PAPER BOARD CO,P,01,LU,25371,20696,19620131,19960329
004605,FEDERAL REALTY INVESTMENT TR,P,01,LU,58413,20697,19750609,E
004606,COLE REAL ESTATE INVESTMENTS,P,01,LC,13982,54443,20130620,20140228
004607,FEDERAL SCREW WORKS,P,01,LU,34463,1847,19721214,20050302
004608,FEDERAL SIGNAL CORP,P,01,LU,47706,20698,19690211,E
004609,FEDERALS INC,P,01,LU,31835,23810,19650129,19720731
004610,FEDERATED CAPITAL CORP,P,01,LU,34471,1671,19730404,19761231
004611,MACY'S INC,C,02,LU,77462,22856,19920317,E
004611,MACY'S INC,C,02,LU,18550,22856,19620131,19880728
004611,MACY'S INC,C,00X,LU,18550,22856,19500201,19620130
004612,FEDERATED GROUP INC,P,01,LU,34490,6582,19831115,19871030
004613,FEDERATED INVESTORS  -CL B,C,00X,LU,34527,1735,19750101,19780130
004613,FEDERATED INVESTORS  -CL B,P,01,LU,34527,1735,19780131,19821101
004614,FEDERATED NATURAL RES LIQ TR,P,01,LC,34535,5658,19831230,19890428
004616,FEDERATED PURCHASER INC,C,01,LU,31843,1684,19810227,19920713
004616,FEDERATED PURCHASER INC,C,00X,LU,31843,1684,19761101,19810226
004617,FELD LEASING INC,P,01,LC,34551,1687,19721214,19740930
004618,FELMONT OIL CO,P,01,LU,31851,23811,19620702,19840629
004619,FELSWAY CORP,P,01,LU,46148,24864,19680425,19780929
004622,FERRO CORP,C,00X,LU,21135,20699,19500101,19620130
004622,FERRO CORP,C,01,LU,21135,20699,19620131,E
004623,FERROFLUIDICS CORP,P,02,LU,34578,1690,19810716,20000131
004626,FEY INDUSTRIES INC,P,01,LU,34594,1694,19790108,19840629
004627,FIBERSTATICS CORP,C,01,LC,34615,24022,19721214,19730824
004628,FIBREBOARD CORP -OLD,C,00X,LU,19879,22956,19560101,19620130
004628,FIBREBOARD CORP -OLD,P,01,LU,19879,22956,19620131,19780630
004629,FIBRONICS INTERNATIONAL INC,P,01,LU,34623,6484,19831011,19940331
004630,FIDATA CORP,P,01,LU,50980,25157,19700804,19890331
004631,FIDELCOR,C,01,LU,34631,1725,19721214,19880229
004632,CALADRIUS BIOSCIENCES INC,P,02,LC,34666,1783,19810409,19951011
004632,CALADRIUS BIOSCIENCES INC,P,02,LC,34666,1783,20070809,E
004633,FIDELITY UNION BANCORP,P,01,LU,52433,25252,19710510,19840430
004634,FIDELITY UNION LIFE INS CO,P,01,LU,34682,1871,19721214,19790921
004635,FIELDCREST CANNON,P,01,LC,42745,20702,19861031,19971219
004637,FIFE CORP,P,01,LU,34711,1727,19740131,19800731
004637,FIFE CORP,C,00X,LU,34711,1727,19730101,19740130
004638,FIFTH AVENUE CARDS INC,P,01,LU,34730,1745,19790131,19851231
004638,FIFTH AVENUE CARDS INC,C,00X,LU,34730,1745,19730701,19790130
004639,FIFTH DIMENSION INC,C,01,LU,34738,9469,19810130,19971209
004639,FIFTH DIMENSION INC,C,00X,LU,34738,9469,19740101,19810129
004640,FIFTH THIRD BANCORP,P,01,LU,34746,1741,19800131,E
004640,FIFTH THIRD BANCORP,C,00X,LU,34746,1741,19800101,19800130
004641,SCOTT TECHNOLOGIES INC,J,01,LC,45102,1728,19860131,19981231
004641,SCOTT TECHNOLOGIES INC,P,02,LC,10016,1728,19860124,20010531
004642,FILIGREE FOODS INC,C,00X,LU,34797,1730,19730801,19770729
004643,FILM CORP OF AMERICA,P,01,LU,56637,25530,19721214,19780131
004644,FILMTEC CORP,P,01,LU,34810,5529,19820526,19850731
004645,SCHAWK INC  -CL A,P,01,LU,34818,6346,19830831,20140731
004646,FILTROL CORP,P,01,LU,25048,23309,19620131,19780428
004648,FINAL TEST INC,P,01,LU,34826,6690,19831213,19890630
004649,FINALCO GROUP INC,C,01,LU,34834,6280,19830812,19890531
004652,FINANCIAL CORP OF AMERICA,C,01,LU,29962,23663,19710129,19880908
004653,FINANCIAL CORP-SANTA BARBARA,C,00X,LU,46084,20703,19790101,19790130
004653,FINANCIAL CORP-SANTA BARBARA,P,01,LU,46084,20703,19790131,19900629
004654,FINANCIAL FEDERATION,P,01,LC,28177,23524,19650129,19830630
004654,FINANCIAL FEDERATION,C,00X,LC,28177,23524,19650101,19650128
004655,FINANCIAL GENERAL BANKSHARES,P,01,LU,31886,23812,19670131,19820831
004655,FINANCIAL GENERAL BANKSHARES,C,00X,LU,31886,23812,19670101,19670130
004656,FINANCIAL INSTITUTION SVCS,P,01,LU,34877,6254,19830803,19851231
004660,DYANSEN CORP,C,01,LU,34922,6263,19830804,19920713
004661,FINE ORGANICS INC,C,01,LC,34949,24039,19721214,19730430
004663,FINGERHUT CORP,P,01,LC,34965,1732,19721214,19781231
004664,FINGERMATRIX INC,P,01,LU,34973,1736,19801105,19930129
004666,INTERACTIVE DATA HLDGS -REDH,P,01,LU,34981,5599,19820817,20100730
004668,FINNIGAN CORP,P,01,LU,35020,1801,19740830,19900928
004671,FIRECOM INC,C,01,LU,35028,6871,19840223,19901218
004672,FIRESTONE TIRE & RUBBER CO,C,01,LU,18569,22857,19620131,19880531
004672,FIRESTONE TIRE & RUBBER CO,C,00X,LU,18569,22857,19491101,19620130
004673,FIRST & MERCHANTS,P,01,LU,35036,1774,19721214,19831230
004674,REGIONS FINANCIAL CORP,P,01,LC,35044,1620,19721214,E
004675,INAMED CORP,P,01,LU,10342,8265,19860610,20060331
004676,FIRST ARTISTS PRODTN CO LTD,P,01,LU,35159,1737,19790131,19820331
004676,FIRST ARTISTS PRODTN CO LTD,C,00X,LU,35159,1737,19730701,19790130
004677,FIRST ATLANTA CORP,P,01,LU,62869,1635,19721214,19851231
004678,FIRSTMERIT CORP,P,01,LC,35167,5259,19820104,20160815
004679,FIRST AMERICAN CORP/TN,C,00X,LU,35175,1636,19780101,19780130
004679,FIRST AMERICAN CORP/TN,P,01,LU,35175,1636,19780131,19991029
004680,FIRST OF AMERICA BANK CORP,P,01,LU,35204,1621,19780504,19980331
004681,HYDE PARK ACQUISITION CP II,P,01,LC,13552,54164,20120802,20140530
004682,U S BANCORP/DE-OLD,P,01,LC,66157,1645,19721214,20010226
004683,FIRST BANKERS CORP-FLA,P,01,LU,62201,1642,19780131,19860530
004683,FIRST BANKERS CORP-FLA,C,00X,LU,62201,1642,19780101,19780130
004684,FIRST BOSTON INC,P,01,LC,64952,1650,19830531,19881222
004684,FIRST BOSTON INC,C,02,LC,64952,1650,19830501,19830505
004684,FIRST BOSTON INC,P,02,LC,64952,1650,19721214,19830430
004685,TRUSTMARK CORP,P,01,LU,35263,1658,19730131,E
004687,FIRST CAROLINA INVTS  -OLD,C,00X,LU,35298,1659,19740101,19790130
004687,FIRST CAROLINA INVTS  -OLD,C,01,LU,35298,1659,19790131,19920313
004688,FIRST CHARTER FINANCIAL,C,00X,LC,27297,23468,19650101,19650128
004688,FIRST CHARTER FINANCIAL,P,01,LU,27297,23468,19650129,19830831
004689,FIRST CHICAGO CORP,P,01,LU,53858,20712,19711230,19951229
004690,FIRST CITIZENS BANCSH  -CL A,P,01,LC,10777,8674,19861022,E
004691,FIRST CITY BANCORP TEX-DEL,C,01,LU,75344,20713,19880720,19921130
004692,FIRST CITY INDUSTRIES INC,C,01,LC,52812,25279,19710713,19890103
004693,FIRST COINVESTORS INC,P,01,LU,35327,1034,19800111,19870731
004694,FIRST COMMERCE CORP,P,01,LU,35370,1668,19820129,19980630
004694,FIRST COMMERCE CORP,C,00X,LC,35370,1668,19820101,19820128
004696,FIRST DATA MANAGEMENT CO INC,P,01,LU,35466,6428,19830928,19870630
004697,COMMONWEALTH FINANCIAL GROUP,C,00X,LC,25276,1673,19730301,19780130
004698,FIRST DATA RESOURCES INC,P,01,LC,35546,6373,19830913,19851028
004699,M & T BANK CORP,C,01,LC,35554,1689,19721214,E
004700,FIRST FIDELITY BANCORP,C,01,LC,52505,20717,19710517,19951229
004701,FIRST FIDELITY INVESTMENT TR,C,01,LU,35677,1697,19771230,19781109
004701,FIRST FIDELITY INVESTMENT TR,C,00X,LU,35677,1697,19731201,19771229
004703,FIRST FINANCIAL MGMT CORP,P,01,LU,35706,5885,19830329,19951031
004704,FIRST FLORIDA BANKS INC,P,01,LU,35722,1695,19721214,19921231
004706,FIRST GENERAL RESOURCES CO,C,01,LU,35749,1709,19791130,19870803
004706,FIRST GENERAL RESOURCES CO,C,00X,LU,35749,1709,19731001,19791129
004707,FIRST HARTFORD CORP,C,00X,LU,22162,1717,19591201,19620130
004707,FIRST HARTFORD CORP,C,01,LU,22162,1717,19620131,19791116
004708,BANCWEST CORP,P,01,LU,35781,1718,19721214,20011231
004710,FIRST INTERSTATE BNCP,J,02,LC,75255,20720,19880216,19930129
004710,FIRST INTERSTATE BNCP,P,01,LC,26550,20720,19620131,19960329
004711,FIRST JERSEY NATIONAL CORP,P,01,LU,35837,1746,19790131,19880201
004711,FIRST JERSEY NATIONAL CORP,C,00X,LU,35837,1746,19790101,19790130
004712,FIRST KENTUCKY NATIONAL,C,01,LU,35853,1751,19721214,19880729
004715,ALLFIRST FINANCIAL INC,C,01,LU,35888,1776,19721214,19890321
004717,FIRST MIDWEST CORP-UTAH,P,01,LU,35933,1785,19810130,19820730
004717,FIRST MIDWEST CORP-UTAH,C,00X,LU,35933,1785,19810101,19810129
004718,FIRST MIDWEST FINANCIAL CORP,C,01,LU,35941,5731,19821214,19850628
004719,CHEMFIRST INC,C,01,LU,58296,1779,19721214,19961223
004719,CHEMFIRST INC,C,01,LC,84382,31848,19970107,20021106
004720,FIRST MATAGORDA CORP,P,01,LU,35968,1772,19810624,19841130
004723,U S BANCORP,P,01,LC,66157,1645,20010227,E
004723,U S BANCORP,P,01,LC,36127,1788,19721214,20010226
004724,FIRST NATIONAL STORES INC,P,01,LU,11949,22317,19620131,19740215
004724,FIRST NATIONAL STORES INC,C,00X,LU,11949,22317,19500401,19620130
004725,FIRST NATIONAL SUPERMARKETS,P,01,LU,36135,1809,19781130,19850930
004726,FIRST NATIONWIDE FINL CORP,P,01,LU,67504,5735,19830711,19851231
004727,FIRST NEWPORT CORP,C,01,LU,50817,1797,19730131,19810831
004728,FST OKLAHOMA BANCORPORATION,P,01,LC,36194,1808,19740131,19860822
004728,FST OKLAHOMA BANCORPORATION,C,00X,LC,36194,1808,19740101,19740130
004730,FIRST PHONE CORP,P,01,LU,36223,5951,19830428,19840531
004731,MEDIA SOURCE INC,P,01,LU,17911,5573,19820730,19980728
004731,MEDIA SOURCE INC,C,00X,LU,17911,5573,19820709,19820729
004732,FIRST PENNSYLVANIA CORP,P,01,LU,53903,20722,19720110,19900330
004734,FIRST RAILRD & BANKING CO-GA,C,00X,LU,36258,1837,19800101,19800130
004734,FIRST RAILRD & BANKING CO-GA,P,01,LU,36258,1837,19800131,19861031
004736,FIRST SECURITY CORP/DE,P,01,LU,36274,1846,19721214,20001031
004737,FIRST HORIZON NATIONAL CORP,C,01,LU,36397,1856,19721214,E
004738,FIRST TRAVEL CORP,P,01,LU,36418,1863,19771031,19800331
004738,FIRST TRAVEL CORP,C,00X,LU,36418,1863,19731001,19771030
004739,WACHOVIA CORP,C,01,LC,36469,1869,19721214,20081231
004740,WINTHROP REALTY TRUST,P,01,LU,50614,20723,19700521,20160802
004741,FIRST UNITED BANCORP,P,01,LU,36477,1643,19721214,19830630
004742,FIRST VIRGINIA BANKS INC,P,01,LU,52265,20724,19710419,20030731
004743,FIRSTAR CORP-OLD,P,01,LU,53209,20726,19710913,19981130
004744,FIRST WYOMING BANCORP,P,01,LC,56397,25514,19780131,19881230
004744,FIRST WYOMING BANCORP,C,00X,LC,56397,25514,19780101,19780130
004745,FIRSTCORP INC  -CL A,P,01,LC,67512,20728,19850604,19901121
004746,FISCHBACH CORP,P,01,LU,28441,20729,19621130,19900716
004747,FISCHER & PORTER CO,P,01,LU,31915,20730,19620702,19940831
004748,RINI-REGO SUPERMARKET,C,02,LC,49242,25054,19690922,19880608
004750,FISHMAN (M.H.) INC,C,01,LU,31931,1848,19660131,19790629
004750,FISHMAN (M.H.) INC,C,00X,LU,31931,1848,19660101,19660130
004751,FITCHBURG GAS & ELEC LIGHT,P,01,LU,58587,1705,19751009,19920428
004751,FITCHBURG GAS & ELEC LIGHT,P,01,LU,58587,1705,19740503,19750611
004752,564 SOUTHERN BOULEVARD INC,P,01,LU,36645,1850,19770729,19791031
004752,564 SOUTHERN BOULEVARD INC,C,00X,LU,36645,1850,19730701,19770728
004754,FLAGG INDUSTRIES,P,01,LU,51107,25164,19700914,19840131
004755,FLAGSHIP BANKS,P,01,LU,36680,1752,19721214,19831230
004756,FLAH'S INC,C,00X,LU,36688,1753,19740201,19790130
004756,FLAH'S INC,P,01,LU,36688,1753,19790131,19840928
004757,FLAME INDUSTRIES INC,P,01,LC,36696,1754,19790131,19840125
004758,FLAMEMASTER CORP,P,01,LU,36709,7447,19790131,20050517
004759,FLANIGANS ENTERPRISES INC,P,01,LU,54244,20733,19720223,E
004760,FLARE INC,P,01,LC,36717,5178,19811110,19900927
004761,FLATLEY REALTY INVESTORS,C,01,LC,36725,1765,19810615,19810831
004762,FLAVORLAND INDUSTRIES INC,C,01,LU,31958,23818,19640528,19770228
004764,FLEETBOSTON FINANCIAL CORP,C,01,LU,47159,20734,19681115,20040430
004765,FLAKEY JAKE'S INC,C,00X,LU,36741,6483,19840101,19840130
004765,FLAKEY JAKE'S INC,C,01,LU,36741,6483,19840131,19860917
004766,FLEET CONTROL CORP,P,01,LU,55239,25427,19720804,19740131
004768,FLEETWOOD ENTERPRISES INC,P,01,LC,46295,20735,19680527,20090102
004769,FLEMING COMPANIES INC,P,01,LU,47271,20736,19681206,20030401
004770,FLEXI-VAN CORP-OLD,P,01,LU,44193,24740,19670215,19850701
004771,FLEXSTEEL INDUSTRIES INC,P,01,LU,36768,1768,19721214,E
004772,FLEXWATT CORP,C,01,LU,88074,6156,19841119,19920709
004773,FLEXWEIGHT CORP-OLD,C,01,LU,36776,1757,19810227,19840926
004773,FLEXWEIGHT CORP-OLD,C,00X,LU,36776,1757,19810217,19810226
004775,FLICKINGER (S.M.) CO INC,P,01,LU,36784,1759,19721214,19840629
004776,FLIGHT DYNAMICS INC,C,01,LU,36792,1771,19810520,19890331
004777,FLIGHT INTERNATIONAL GROUP,C,01,LU,36805,6766,19840110,19920731
004778,FLIGHT TRANSPORTATION CORP,P,01,LU,36813,24184,19800205,19820618
004779,FLIGHTSAFETY INTERNATIONAL,P,01,LC,49875,20737,19700123,19961223
004780,FLINTKOTE CO,P,01,LC,20167,22979,19620131,19791231
004780,FLINTKOTE CO,C,00X,LC,20167,22979,19500101,19620130
004781,FLOATING POINT SYSTEMS INC,P,01,LC,63589,1763,19780928,19910927
004782,FLOCK INDUSTRIES INC,C,01,LU,53954,6357,19740131,19910531
004782,FLOCK INDUSTRIES INC,C,00X,LU,53954,6357,19740101,19740130
004783,GERALD STEVENS INC,C,01,LC,86894,16499,19990503,20001201
004783,GERALD STEVENS INC,C,01,LC,36848,1729,19730131,19920506
004783,GERALD STEVENS INC,C,01,LC,36848,1729,19970602,19990430
004785,FLORI CORP,P,01,LU,36856,1764,19780131,19801231
004786,FLORIDA AUTOMOTIVE MARKETING,P,01,LC,36864,5229,19811211,19840725
004787,FLORIDA CAPITAL CORP,P,01,LU,39079,24359,19710129,19840229
004787,FLORIDA CAPITAL CORP,C,00X,LU,39079,24359,19710101,19710128
004788,FLORIDA COS,C,01,LU,50139,6306,19730131,19831130
004789,FLORIDA CYPRESS GARDENS,P,01,LU,36928,1675,19721229,19850830
004790,FLORIDA EAST COAST INDS,J,02,LC,88663,20738,20001010,20030919
004790,FLORIDA EAST COAST INDS,P,01,LC,27748,20738,19680131,20070726
004790,FLORIDA EAST COAST INDS,C,00X,LC,27748,20738,19680101,19680130
004791,FLORIDA GAS,P,01,LU,46404,24880,19680625,19790828
004793,FLORIDA GLASS INDUSTRIES INC,C,01,LU,36952,1708,19780131,19901130
004793,FLORIDA GLASS INDUSTRIES INC,C,00X,LU,36952,1708,19730301,19780130
004794,FLORIDA GULF REALTY TRUST,P,01,LU,36979,1707,19780131,19851210
004794,FLORIDA GULF REALTY TRUST,C,00X,LU,36979,1707,19740501,19780130
004795,FLORIDA MINING & MATERIALS,P,01,LU,36995,1781,19721214,19790820
004796,FLORIDA NATL BANKS OF FLA,P,01,LU,37007,1792,19721214,19900126
004797,FLORIDA PARTNERS CORP,C,01,LU,37015,6976,19840410,19910508
004800,FLORIDA PROGRESS CORP,P,01,LC,22496,20739,19620131,20001130
004800,FLORIDA PROGRESS CORP,C,00X,LC,22496,20739,19510101,19620130
004801,FLORIDA PUBLIC UTILITIES CO,C,00X,LU,37023,1820,19770101,19770130
004801,FLORIDA PUBLIC UTILITIES CO,P,01,LU,37023,1820,19770131,20091030
004802,FLORIDA ROCK INDUSTRIES INC,P,01,LU,56784,20740,19721214,20071130
004803,AMERISTEEL CORP,P,01,LU,43246,24668,19660523,19881117
004804,FLORIDA SUN INTERNATIONAL,P,01,LU,88103,7215,19840910,19860131
004805,FLORIDA TELEPHONE CORP,P,01,LC,37031,24199,19730131,19740228
004806,GRC INTL INC,P,01,LU,54543,20742,19720419,20000331
004807,FLOW INTL CORP,P,01,LU,37058,5848,19830310,20140228
004808,FLOWER TIME INC,C,01,LU,37066,1767,19801028,19840330
004809,FLOWERS FOODS INC,P,01,LC,88924,41367,20010328,E
004809,FLOWERS FOODS INC,P,01,LC,49031,20743,19690821,20010326
004817,FLUKE CORP,P,01,LU,46164,20744,19680430,19980731
004818,FLUOR CORP,P,01,LC,88853,41080,20001222,E
004818,FLUOR CORP,C,00X,LC,26382,20745,19571028,19651230
004818,FLUOR CORP,P,01,LC,26382,20745,19651231,20001130
004819,FURON CO,P,01,LU,37103,1662,19760630,19991130
004821,FLYING DIAMOND OIL CORP,C,01,LU,58229,25597,19741205,19780428
004822,FLYING TIGER LINE INC,P,01,LU,37130,6915,19840313,19850731
004823,FLYNN ENERGY CORP,P,01,LU,37138,1770,19750905,19781229
004826,FONAR CORP,C,01,LU,37154,5152,19811029,E
004828,DELHAIZE AMERICA INC,J,02,LC,87206,35270,19990909,20010425
004828,DELHAIZE AMERICA INC,P,01,LC,37197,1681,19860401,19990908
004828,DELHAIZE AMERICA INC,J,01,LC,37197,1681,19831031,19860331
004828,DELHAIZE AMERICA INC,J,02,LC,37189,1681,19860401,19990908
004828,DELHAIZE AMERICA INC,P,02,LC,37189,1681,19721214,19860331
004828,DELHAIZE AMERICA INC,P,01,LC,87205,35270,19990909,20010425
004830,FOODARAMA SUPERMARKETS,P,01,LU,47036,20746,19681028,20060731
004833,FOODWAYS NATIONAL INC,P,01,LU,59280,1877,19721214,19780630
004834,TRUE NORTH COMMUNICATIONS,P,01,LU,41726,20748,19650316,20010629
004835,FOOTE MINERAL CO,C,01,LU,26243,23396,19620131,19880429
004836,FOOTHILL GROUP INC  -CL A,C,00X,LU,66165,1858,19730601,19750130
004836,FOOTHILL GROUP INC  -CL A,P,01,LU,66165,1858,19750131,19951031
004837,FOR BETTER LIVING INC,C,01,LU,37218,1655,19780131,19971231
004837,FOR BETTER LIVING INC,C,00X,LU,37218,1655,19730701,19780130
004838,FORD MOTOR CO OF CANADA LTD,P,01,LC,31966,20749,19620702,19950929
004839,FORD MOTOR CO,P,01,LC,25785,20750,19620131,E
004839,FORD MOTOR CO,C,00X,LC,25785,20750,19571231,19620130
004841,FOREMOST DAIRIES INC,C,00X,LC,25646,21180,19640101,19640330
004841,FOREMOST DAIRIES INC,P,01,LC,25646,21180,19640331,19670719
004842,FOREST CITY REALTY TRUST INC,N,02,LC,65584,20751,19831110,20170630
004842,FOREST CITY REALTY TRUST INC,C,01,LC,31974,20751,19620702,E
004843,FOREST LABORATORIES  -CL A,P,01,LC,45241,20753,19671024,20140630
